# Results for 1000
Insert Times (s),Remove Times (s),Find Times (s)
0.0000038000,0.0000026999,0.0000005000
0.0000044000,0.0000023000,0.0000005000
0.0000031000,0.0000031000,0.0000003000
0.0000031999,0.0000050999,0.0000005000
0.0000045000,0.0000045000,0.0000004000
0.0000068001,0.0000053999,0.0000004000
0.0000048000,0.0000037000,0.0000002000
0.0000019999,0.0000019000,0.0000002000
0.0000060999,0.0000021000,0.0000003000
0.0000043000,0.0000033000,0.0000002000
0.0000086999,0.0000039000,0.0000002000
0.0000019000,0.0000023000,0.0000002000
0.0000028000,0.0000009000,0.0000002000
0.0000036000,0.0000010000,0.0000002000
0.0000049000,0.0000006000,0.0000003000
0.0000050000,0.0000008000,0.0000001000
0.0000069001,0.0000017999,0.0000001000
0.0000020000,0.0000019999,0.0000001000
0.0000061000,0.0000010000,0.0000001000
0.0000049000,0.0000014000,0.0000002000
0.0000067001,0.0000018000,0.0000004000
0.0000113000,0.0000010000,0.0000004000
0.0000122000,0.0000006000,0.0000002000
0.0000108000,0.0000007000,0.0000001000
0.0000096001,0.0000010000,0.0000001999
0.0000126000,0.0000009000,0.0000001000
0.0000133000,0.0000108000,0.0000002000
0.0000100001,0.0000021000,0.0000003000
0.0000042999,0.0000025000,0.0000002000
0.0000129000,0.0000023999,0.0000002000
0.0000181000,0.0000029999,0.0000001000
0.0000073999,0.0000027000,0.0000003000
0.0000107000,0.0000025000,0.0000002000
0.0000019000,0.0000017999,0.0000001000
0.0000236999,0.0000010000,0.0000001000
0.0000156000,0.0000010000,0.0000001000
0.0000078001,0.0000007000,0.0000001000
0.0000163000,0.0000039000,0.0000002000
0.0000099001,0.0000022000,0.0000001999
0.0000106000,0.0000033999,0.0000003000
0.0000057999,0.0000017000,0.0000003000
0.0000114001,0.0000018000,0.0000002000
0.0000122000,0.0000018000,0.0000003000
0.0000024000,0.0000022000,0.0000002000
0.0000241001,0.0000015999,0.0000002000
0.0000128000,0.0000025000,0.0000003000
0.0000024999,0.0000168000,0.0000002000
0.0000190000,0.0000022000,0.0000002000
0.0000079999,0.0000015000,0.0000002000
0.0000213999,0.0000024000,0.0000002000
0.0000133000,0.0000146000,0.0000003000
0.0000159000,0.0000035000,0.0000001000
0.0000112000,0.0000037000,0.0000001000
0.0000457000,0.0000020000,0.0000001000
0.0000954000,0.0000039000,0.0000001000
0.0000165000,0.0000029000,0.0000002000
0.0000605000,0.0000052000,0.0000003000
0.0000403001,0.0000023000,0.0000001000
0.0000561001,0.0000018000,0.0000001000
0.0001337000,0.0000064000,0.0000001000
0.0001065000,0.0000163000,0.0000002000
0.0000106000,0.0000024000,0.0000001000
0.0000150000,0.0000027999,0.0000001000
0.0000188000,0.0000021000,0.0000002000
0.0000130000,0.0000023000,0.0000002000
0.0000155000,0.0000036000,0.0000002000
0.0000283000,0.0000029000,0.0000003000
0.0000092000,0.0000016000,0.0000001000
0.0000666000,0.0000009999,0.0000001000
